No.,件名,件数,14
1,おはよう,元気ですか？,
2,こんにちは,調子はどうですか？,
3,こんばんは,眠いですか？,
4,お元気ですか？,私は元気です！あなたはどうですか？,
5,あなたはいくつですか？,私は１４歳です。,
6,どこに住んでいますか？,あなたの住んでいるところから、ずっと遠い場所です。,
7,こんにちは！,こんにちは！調子はどうですか？,
8,何歳ですか？,私は１４歳です。,
9,ばか,そう言われると悲しいです。,
10,いくつ？,14歳です。,
11,しりとりしない？,私にはしりとりができません。,
12,最高です。,それは良かった！,
13,悲しいです。,大丈夫？,
14,はい,分かっていただけたでしょうか？,
15,,,
16,,,
17,,,
18,,,
19,,,
20,,,
21,,,
22,,,
23,,,
24,,,
25,,,
26,,,
27,,,
28,,,
29,,,
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,,,
41,,,
42,,,
43,,,
44,,,
45,,,
46,,,
47,,,
48,,,
49,,,
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,